Province,Region,Year,Birthrate
Ningxia,Northwest China,2004,15.97
Xinjiang,Northwest China,2004,16
Beijing,North China,2003,5.1
Tianjin,North China,2003,7.14
Hebei,North China,2003,11.43
Shanxi,North China,2003,12.26
Inner Mongolia,North China,2003,9.24
Liaoning,Northeast China,2003,6.9
Jilin,Northeast China,2003,7.25
Heilongjiang,Northeast China,2003,7.48
Shanghai,East China,2003,4.85
Jiangsu,East China,2003,9.04
Zhejiang,East China,2003,9.66
Anhui,East China,2003,11.15
Fujian,East China,2003,11.43
Jiangxi,East China,2003,14.07
Shandong,East China,2003,11.42
Henan,South Central China,2003,12.1
Hubei,South Central China,2003,8.26
Hunan,South Central China,2003,11.82
Guangdong,South Central China,2003,13.66
Guangxi,South Central China,2003,13.86
Hainan,South Central China,2003,14.68
Chongqing,Southwest China,2003,9.89
Sichuan,Southwest China,2003,9.18
Guizhou,Southwest China,2003,15.91
Yunnan,Southwest China,2003,17
Tibet,Southwest China,2003,17.4
Shaanxi,Northwest China,2003,10.67
Gansu,Northwest China,2003,12.58
Qinghai,Northwest China,2003,16.94
Ningxia,Northwest China,2003,15.68
Xinjiang,Northwest China,2003,16.01
Beijing,North China,2002,6.6
Tianjin,North China,2002,7.49
Hebei,North China,2002,11.53
Shanxi,North China,2002,12.86
Inner Mongolia,North China,2002,9.6
Liaoning,Northeast China,2002,7.38
Jilin,Northeast China,2002,8.3
Heilongjiang,Northeast China,2002,7.98
Shanghai,East China,2002,5.41
Jiangsu,East China,2002,9.17
Zhejiang,East China,2002,9.98
Anhui,East China,2002,11.2
Fujian,East China,2002,11.35
Jiangxi,East China,2002,14.74
Shandong,East China,2002,11.17
Henan,South Central China,2002,12.41
Hubei,South Central China,2002,8.38
Hunan,South Central China,2002,11.56
Guangdong,South Central China,2002,13.29
Guangxi,South Central China,2002,13.3
Hainan,South Central China,2002,15.2
Chongqing,Southwest China,2002,9.36
Sichuan,Southwest China,2002,10.44
Guizhou,Southwest China,2002,17.96
Yunnan,Southwest China,2002,17.9
Tibet,Southwest China,2002,18.83
Shaanxi,Northwest China,2002,10.48
Gansu,Northwest China,2002,13.16
Qinghai,Northwest China,2002,18.05
Ningxia,Northwest China,2002,16.42
Xinjiang,Northwest China,2002,16.3
Beijing,North China,2001,6.1
Tianjin,North China,2001,7.58
Hebei,North China,2001,11.16
Shanxi,North China,2001,13.06
Inner Mongolia,North China,2001,10.77
Liaoning,Northeast China,2001,7.74
Jilin,Northeast China,2001,8.76
Heilongjiang,Northeast China,2001,8.48
Shanghai,East China,2001,5.02
Jiangsu,East China,2001,9.03
Zhejiang,East China,2001,10.02
Anhui,East China,2001,12.46
Fujian,East China,2001,11.56
Jiangxi,East China,2001,15.44
Shandong,East China,2001,11.12
Henan,South Central China,2001,13.2
Hubei,South Central China,2001,8.51
Hunan,South Central China,2001,11.8
Guangdong,South Central China,2001,13.95
Guangxi,South Central China,2001,13.8
Hainan,South Central China,2001,15.23
Chongqing,Southwest China,2001,9.7
Sichuan,Southwest China,2001,11.16
Guizhou,Southwest China,2001,18.56
Yunnan,Southwest China,2001,18.51
Tibet,Southwest China,2001,18.6
Shaanxi,Northwest China,2001,10.5
Gansu,Northwest China,2001,13.58
Qinghai,Northwest China,2001,19.06
Ningxia,Northwest China,2001,16.55
Xinjiang,Northwest China,2001,16.82
